,ts_code,stock_name,industry,market,stock_beta
101,000570.SZ,苏常柴A,机械基件,主板,0.845778721033494
102,000571.SZ,新大洲A,综合类,主板,0.9790231438575498
103,000572.SZ,海马汽车,汽车整车,主板,1.030093291670508
104,000573.SZ,粤宏远A,区域地产,主板,0.8625449775211086
105,000581.SZ,威孚高科,汽车配件,主板,0.9810718194476739
106,000582.SZ,北部湾港,港口,主板,0.9204226745456967
107,000589.SZ,黔轮胎A,汽车配件,主板,0.7977315375703088
108,000591.SZ,太阳能,新型电力,主板,0.9099584177887776
109,000596.SZ,古井贡酒,白酒,主板,1.1992799370213858
110,000597.SZ,东北制药,化学制药,主板,0.7323476319853435
111,000598.SZ,兴蓉环境,水务,主板,0.7106450265810307
112,000599.SZ,青岛双星,汽车配件,主板,0.8902404230686632
113,000600.SZ,建投能源,火力发电,主板,1.0669329107210623
114,000601.SZ,韶能股份,水力发电,主板,0.8288938084527908
115,000605.SZ,渤海股份,水务,主板,1.2203389345570774
116,000607.SZ,华媒控股,广告包装,主板,0.9842671724025299
117,000608.SZ,阳光股份,区域地产,主板,0.9679691043998698
118,000609.SZ,中迪投资,区域地产,主板,1.129304393302775
119,000610.SZ,西安旅游,旅游服务,主板,0.9761457810702695
120,000612.SZ,焦作万方,铝,主板,1.0765777895224888
121,000617.SZ,中油资本,多元金融,主板,1.0959620175774745
122,000619.SZ,海螺型材,其他建材,主板,0.6310984745721698
123,000620.SZ,新华联,全国地产,主板,0.5519970485147256
124,000623.SZ,吉林敖东,中成药,主板,0.9836344971127186
125,000625.SZ,长安汽车,汽车整车,主板,0.9168864025774824
126,000626.SZ,远大控股,商贸代理,主板,1.1279956637908388
127,000627.SZ,天茂集团,保险,主板,1.0471837193353029
128,000628.SZ,高新发展,园区开发,主板,0.8362550623450773
129,000630.SZ,铜陵有色,铜,主板,0.7778009612787118
130,000631.SZ,顺发恒业,区域地产,主板,1.0053785260146648
131,000632.SZ,三木集团,综合类,主板,0.6937517042253386
132,000635.SZ,英力特,化工原料,主板,1.0690878881088617
133,000636.SZ,风华高科,元器件,主板,1.1840546068500095
134,000637.SZ,茂化实华,石油加工,主板,0.9293092103158765
135,000639.SZ,西王食品,食品,主板,0.7592212320576782
136,000650.SZ,仁和药业,中成药,主板,1.0985446860491104
137,000651.SZ,格力电器,家用电器,主板,1.2754061845380977
138,000652.SZ,泰达股份,批发业,主板,0.9228058508505886
139,000656.SZ,金科股份,区域地产,主板,0.6014956319084218
140,000657.SZ,中钨高新,小金属,主板,1.2500918200107782
141,000661.SZ,长春高新,生物制药,主板,1.1654260477819565
142,000665.SZ,湖北广电,影视音像,主板,0.9757211929528793
143,000667.SZ,美好置业,全国地产,主板,0.6809236134902906
144,000668.SZ,荣丰控股,区域地产,主板,1.1098247678448971
145,000670.SZ,盈方微,元器件,主板,0.6307801375939815
146,000671.SZ,阳光城,区域地产,主板,1.2837869326268116
147,000672.SZ,上峰水泥,水泥,主板,1.2786048824150469
148,000676.SZ,智度股份,互联网,主板,1.1035044634306432
149,000677.SZ,恒天海龙,化纤,主板,0.8625551677890102
150,000679.SZ,大连友谊,百货,主板,1.1441444820485118
151,000680.SZ,山推股份,工程机械,主板,1.142466773821521
152,000681.SZ,视觉中国,互联网,主板,1.2981072751257994
153,000683.SZ,远兴能源,化工原料,主板,0.8499942496265543
154,000685.SZ,中山公用,水务,主板,0.927274656705525
155,000686.SZ,东北证券,证券,主板,1.1052480997391052
156,000687.SZ,华讯方舟,通信设备,主板,1.1034069678825456
157,000690.SZ,宝新能源,火力发电,主板,0.859019927020174
158,000691.SZ,亚太实业,区域地产,主板,0.7373078556222614
159,000692.SZ,惠天热电,供气供热,主板,1.0231831440404626
160,000697.SZ,炼石航空,航空,主板,1.0369256514041556
161,000698.SZ,沈阳化工,化工原料,主板,0.8254140273024018
162,000700.SZ,模塑科技,汽车配件,主板,0.9391974777511851
163,000701.SZ,厦门信达,综合类,主板,1.0179952433899535
164,000702.SZ,正虹科技,饲料,主板,0.8864030776202078
165,000705.SZ,浙江震元,医药商业,主板,0.8968480110988518
166,000709.SZ,河钢股份,普钢,主板,0.8431561514138434
167,000710.SZ,贝瑞基因,医疗保健,主板,1.0936363092833437
168,000712.SZ,锦龙股份,证券,主板,1.3047636467318677
169,000715.SZ,中兴商业,百货,主板,0.8659289178621666
170,000716.SZ,黑芝麻,食品,主板,0.9317118212469075
171,000717.SZ,韶钢松山,普钢,主板,1.2540947484156324
172,000718.SZ,苏宁环球,区域地产,主板,0.8134895331541657
173,000719.SZ,中原传媒,出版业,主板,0.8052054014440009
174,000721.SZ,西安饮食,酒店餐饮,主板,1.0268359590519498
175,000722.SZ,湖南发展,水力发电,主板,1.024857562727846
176,000725.SZ,京东方A,元器件,主板,1.3462558070786266
177,000726.SZ,鲁泰A,纺织,主板,0.618173652808937
178,000727.SZ,华东科技,元器件,主板,0.8490263618253591
179,000728.SZ,国元证券,证券,主板,1.154701668708787
180,000729.SZ,燕京啤酒,啤酒,主板,1.1017137904307865
181,000731.SZ,四川美丰,农药化肥,主板,0.9530568415105289
182,000733.SZ,振华科技,元器件,主板,1.1098076877067677
183,000736.SZ,中交地产,全国地产,主板,0.7380987907538492
184,000738.SZ,航发控制,航空,主板,1.044435642428253
185,000739.SZ,普洛药业,化学制药,主板,1.0013911773503035
186,000750.SZ,国海证券,证券,主板,0.9835886600345314
187,000751.SZ,锌业股份,铅锌,主板,0.883767727310131
188,000752.SZ,西藏发展,啤酒,主板,0.7933401945489013
189,000753.SZ,漳州发展,汽车服务,主板,0.9980519638389993
190,000758.SZ,中色股份,铅锌,主板,1.0427555251899245
191,000759.SZ,中百集团,超市连锁,主板,1.0299402671423803
192,000761.SZ,本钢板材,普钢,主板,0.9128410173677922
193,000762.SZ,西藏矿业,小金属,主板,1.1135206011313137
194,000767.SZ,漳泽电力,火力发电,主板,0.6932471935159725
195,000768.SZ,中航飞机,航空,主板,0.8288293961496538
196,000776.SZ,广发证券,证券,主板,0.9343618450147054
197,000777.SZ,中核科技,机械基件,主板,0.9374410614627368
198,000778.SZ,新兴铸管,钢加工,主板,0.9210893164466523
199,000782.SZ,美达股份,化纤,主板,1.0505549412905861
200,000783.SZ,长江证券,证券,主板,1.0265505780383581
201,000785.SZ,武汉中商,百货,主板,0.955277463891773
202,000786.SZ,北新建材,其他建材,主板,1.4364593157265904
203,000788.SZ,北大医药,化学制药,主板,1.0979256525762402
204,000789.SZ,万年青,水泥,主板,1.4993822476602847
205,000791.SZ,甘肃电投,水力发电,主板,0.6626719139952544
206,000792.SZ,盐湖股份,化工原料,主板,1.0735979568568796
207,000795.SZ,英洛华,矿物制品,主板,1.046365888785632
208,000797.SZ,中国武夷,全国地产,主板,1.1004844680148387
209,000798.SZ,中水渔业,渔业,主板,0.8745633737268128
210,000799.SZ,酒鬼酒,白酒,主板,1.1445829604934705
211,000800.SZ,一汽轿车,汽车整车,主板,1.0343255435008782
212,000801.SZ,四川九洲,通信设备,主板,1.04668635537277
213,000802.SZ,北京文化,影视音像,主板,0.5169952722088513
214,000810.SZ,创维数字,家用电器,主板,1.202254294816841
215,000811.SZ,冰轮环境,工程机械,主板,1.001775889110212
216,000813.SZ,德展健康,化学制药,主板,0.5062244016931129
217,000815.SZ,美利云,造纸,主板,1.2006152040862021
218,000818.SZ,航锦科技,化工原料,主板,0.9128312222482827
219,000819.SZ,岳阳兴长,石油加工,主板,1.1001701100535086
220,000821.SZ,京山轻机,轻工机械,主板,0.9707849746964557
221,000822.SZ,山东海化,化工原料,主板,1.4044013901598127
222,000823.SZ,超声电子,元器件,主板,1.2013399156035076
223,000828.SZ,东莞控股,路桥,主板,1.0198182872721353
224,000829.SZ,天音控股,其他商业,主板,0.8251953447378957
225,000830.SZ,鲁西化工,农药化肥,主板,1.824876100344425
226,000831.SZ,五矿稀土,小金属,主板,0.9444019466444743
227,000833.SZ,粤桂股份,造纸,主板,0.8553425670946512
228,000836.SZ,富通鑫茂,通信设备,主板,0.9809607977378816
229,000837.SZ,秦川机床,机床制造,主板,1.010048466572093
230,000838.SZ,财信发展,区域地产,主板,1.0219951306092794
231,000839.SZ,中信国安,综合类,主板,1.168988084970522
232,000848.SZ,承德露露,软饮料,主板,0.8849631808356753
233,000850.SZ,华茂股份,纺织,主板,0.9598059712543444
234,000851.SZ,高鸿股份,软件服务,主板,1.2750478917087509
235,000852.SZ,石化机械,化工机械,主板,0.9856570311230659
236,000856.SZ,冀东装备,机械基件,主板,1.1222137450817409
237,000858.SZ,五粮液,白酒,主板,1.3604478017465347
238,000859.SZ,国风塑业,塑料,主板,0.9751698112454019
239,000860.SZ,顺鑫农业,白酒,主板,1.4988379882139513
240,000861.SZ,海印股份,房产服务,主板,0.585950142087984
241,000862.SZ,银星能源,新型电力,主板,0.9973067044023889
242,000863.SZ,三湘印象,区域地产,主板,0.7034671395693924
243,000868.SZ,安凯客车,汽车整车,主板,1.192150727441138
244,000869.SZ,张裕A,红黄药酒,主板,0.9470660712293567
245,000875.SZ,吉电股份,火力发电,主板,0.7131525743524619
246,000876.SZ,新希望,饲料,主板,0.7389043855485051
247,000877.SZ,天山股份,水泥,主板,1.2079083731622051
248,000880.SZ,潍柴重机,机械基件,主板,0.893564399544898
249,000881.SZ,中广核技,综合类,主板,0.9181370063192956
250,000882.SZ,华联股份,百货,主板,0.794570649710612
251,000883.SZ,湖北能源,火力发电,主板,0.6615485378882144
252,000885.SZ,城发环境,公路,主板,1.2125192409138832
253,000886.SZ,海南高速,路桥,主板,0.862273128863061
